Título PT-BR,Descrição,Nota TMDb,Data Lançamento,Gêneros,Duração (min)
Dragon Ball Super: Broly,"Esta é a história de um novo Saiyajin. A Terra está em paz depois do fim do Torneio do Poder. Goku não quer nada além de treinar, já que agora compreende quantas pessoas fortes existem nos universos que ele ainda não conheceu. Então, um dia, um Saiyajin desconhecido chamado Broly aparece diante de Goku e Vegeta. Como é possível que um Saiyajin esteja na Terra quando ele deveria ter sido destruído junto com o Planeta Vegeta? De volta do inferno mais uma vez, Freeza também aparece e os três Saiyajins que tiveram caminhos completamente diferentes se encontram em um intenso conflito.",7.9,2018-12-14,"Ação, Ficção científica, Animação",101
Classe Média,"Um casal jovem indiano está com uma difícil missão pela frente: fazer com que sua filha, ainda criança, tenha a melhor educação de todo o país. Tudo isso com o objetivo de fazer com que eles sejam aceitos na elite de Delhi. O problema é que a tarefa será mais difícil que imaginavam e eles terão muitas aventuras no caminho..",7.276,2017-05-19,"Comédia, Drama",132
Me Chame Pelo Seu Nome,"O sensível e único filho da família americana com ascendência italiana e francesa Perlman, Elio está enfrentando outro verão preguiçoso na casa de seus pais na bela e lânguida paisagem italiana quando Oliver, um acadêmico que veio ajudar a pesquisa de seu pai, chega.",8.118,2017-07-28,"Romance, Drama",132
"Eu, Daniel Blake","Após uma parada cardíaca, Daniel se afasta do trabalho e busca auxilio financeiro do governo. No meio da burocracia que quase o leva à loucura, ele conhece uma mãe solteira na mesma situação e eles desenvolvem uma forte amizade.",7.721,2016-10-21,Drama,100
Ilha dos Cachorros,"Atari Kobayashi é um garoto japonês de 12 anos de idade. Ele mora na cidade de Megasaki, sob tutela do corrupto prefeito Kobayashi. O político aprova uma nova lei que proíbe os cachorros de morarem no local, fazendo com que todos os animais sejam enviados a uma ilha vizinha repleta de lixo. Como não aceita se separar do cachorro Spots, Atari convoca os amigos, rouba um jato em miniatura e parte em busca de seu fiel amigo, aventura que transforma completamente a vida da cidade.",7.9,2018-03-23,"Aventura, Comédia, Animação",101
O Drama de Dunquerque,"Duas histórias em uma. Um tranquilo Cabo Britânico na França torna-se responsável pelas vidas de seus homens quando seu oficial é morto. Ele tem que levá-los de volta para a Grã-Bretanha de alguma forma. Enquanto isso, civis britânicos estão sendo arrastados para a guerra com a Operação Dynamo, a operação de retirada das forças francesas e britânicas encurraladas nas praias de Dunquerque. Alguns se apresentam para ajudar, enquanto outros estão menos dispostos.",6.78,1958-03-20,"Drama, Guerra",134
Estrelas Além do Tempo,"Ano 1961, em plena Guerra Fria, Estados Unidos e União Soviética disputam a supremacia na corrida espacial ao mesmo tempo em que a sociedade norte-americana lida com uma profunda cisão racial, entre brancos e negros. Tal situação é refletida também na NASA, onde um grupo de funcionárias negras é obrigada a trabalhar a parte. É lá que estão Katherine Johnson, Dorothy Vaughn e Mary Jackson, grandes amigas que, além de provar sua competência dia após dia, precisam lidar com o preconceito arraigado para que consigam ascender na hierarquia da NASA.",8.055,2016-12-10,"Drama, História",127
Fuga Para A Liberdade,"Um menino e seu tio fogem para as matas da Nova Zelândia. Para capturá-los, é organizada uma verdadeira caçada da qual os dois precisarão fugir unindo suas forças e superando suas diferenças.",7.647,2016-03-31,"Aventura, Comédia, Drama",101
As Aventuras de Paddington 2,"Após ser adotado pela família Brown, Paddington ganhou muita popularidade na comunidade de Windsor Gardens. No aniversario de 100 anos de sua tia Lucy, esse simpático ursinho sai em busca do presente perfeito e acaba encontrando um livro único na loja de antiguidades do senhor Gruber. Paddington se submete a uma série de trabalhos bizarros para poder comprá-lo, e quando o livro é roubado, ele e sua família farão de tudo para encontrar o ladrão.",7.463,2017-11-09,"Aventura, Comédia, Família",103
Manchester à Beira-Mar,"Lee Chandler, zelador de prédios em Boston, Massachusetts, é forçado a retornar a sua cidade natal, Manchester na Inglaterra, para assumir a guarda de seu sobrinho adolescente Patrick após o pai do rapaz, seu irmão Joe, falecer precocemente. Este retorno ficará ainda mais complicado quando Lee precisar enfrentar as razões que o fizeram ir embora e deixar sua família para trás, anos antes.",7.547,2016-11-17,Drama,138
Terra de Minas,"A guerra não acaba quando a paz é assinada. Um grupo de jovens prisioneiros alemães é entregue ao sargento dinamarquês Rasmussen no final da Segunda Guerra Mundial. Rasmussen ordena a desativação de mais de dois milhões de minas enterradas na costa dinamarquesa, apesar de ser proibido pela Convenção de Genebra.",7.798,2015-12-03,"Guerra, Drama, História",101
Rogue One: Uma História Star Wars,"Ainda criança, Jyn Erso foi afastada de seu pai, devido à exigência do diretor Krennic de que ele trabalhasse na construção da arma mais poderosa do Império, a Estrela da Morte. Criada por Saw Gerrera, ela teve que aprender a sobreviver por conta própria ao completar 16 anos. Já adulta, Jyn é resgatada da prisão pela Aliança Rebelde, que deseja ter acesso a uma mensagem enviada por seu pai a Gerrera. Com a promessa de liberdade ao término da missão, ela aceita trabalhar para os rebeldes ao lado do capitão Cassian Andor e do robô K-2SO.",7.495,2016-12-14,"Ação, Aventura, Ficção científica",133
Elvis,"Desde sua ascensão ao estrelato, o ícone do rock Elvis Presley mantém um relacionamento complicado com seu enigmático empresário, Tom Parker, por mais de 20 anos.",7.499,2022-06-22,"Drama, Música, História",159
Capitão Fantástico,"Ben é o pai de seis crianças pequenas, que decide fugir da civilização e criar os filhos nas florestas selvagens do Pacífico Norte. Ele passa os seus dias dando lições às crianças, ensinando-os a praticar esportes e a combater inimigos. Um dia, no entanto, Ben é forçado a deixar o local e retornar à vida na cidade. Começa o aprendizado do pai, que deve se acostumar à vida moderna.",7.898,2016-07-08,"Aventura, Drama",118
Capitão América: Guerra Civil,"Depois do ataque de Ultron, os políticos decidem controlar os Vingadores, já que suas ações afetam toda a humanidade. A decisão coloca o Capitão América em rota de colisão com o Homem de Ferro.",7.445,2016-04-27,"Aventura, Ação, Ficção científica",137
Os Oito Odiados,"Durante uma nevasca, um carrasco, uma prisioneira, um caçador de recompensas e um homem que alega ser xerife buscam abrigo no Armazém da Minnie, onde quatro outros desconhecidos estão abrigados. Aos poucos, os oito viajantes no local começam a descobrir os segredos sangrentos uns dos outros, levando a um inevitável confronto entre eles.",7.755,2015-12-25,"Drama, Mistério, Faroeste",167
Adoráveis Mulheres,"As irmãs Jo, Beth, Meg e Amy amadurecem na virada da adolescência para a vida adulta enquanto os Estados Unidos atravessam a Guerra Civil. Com personalidades completamente diferentes, elas enfrentam os desafios de crescer unidas pelo amor que nutrem umas pelas outras.",7.863,2019-12-25,"Drama, Romance, História",134
"Com Amor, Van Gogh","Um ano após o suicídio de Vincent Van Gogh, Armand Roulin encontra uma carta por ele enviada ao irmão Theo, que jamais chegou ao seu destino. Após conversar com o pai, carteiro que era amigo pessoal de Van Gogh, Armand é incentivado a entregar ele mesmo a correspondência. Desta forma, ele parte para a cidade francesa de Arles na esperança de encontrar algum contato com a família do pintor falecido. Lá, inicia uma investigação junto às pessoas que conheceram Van Gogh, no intuito de decifrar se ele realmente se matou.",7.991,2017-06-22,"Animação, Drama, Mistério, História",94
Orgulho e Esperança,"Margaret Thatcher está no poder e o Sindicato Nacional dos Trabalhadores Mineiros está em greve. Na Parada Gay de Londres, um grupo de ativistas gays e lésbicas decide arrecadar fundos para apoiar as famílias dos mineiros. Mas há um problema: o sindicato parece envergonhado de receber sua ajuda.",7.708,2014-09-12,"Drama, Comédia",115
O Abutre,"Enfrentando dificuldades para conseguir um emprego formal, o jovem Louis Bloom decide entrar no agitado submundo do jornalismo criminal independente de Los Angeles. A fórmula é correr atrás de crimes e acidentes chocantes, registrar tudo e vender a história para veículos interessados.",7.705,2014-10-23,"Crime, Drama, Thriller",118
Star Wars: O Despertar da Força,"A queda de Darth Vader e do Império levou ao surgimento de uma nova força sombria: a Primeira Ordem. Eles procuram o jedi Luke Skywalker, desaparecido. A resistência tenta desesperadamente encontrá-lo antes para salvar a galáxia.",7.261,2015-12-15,"Aventura, Ação, Ficção científica",136
The Lunchbox,"Uma entrega equivocada no famoso sistema de entrega de marmitas de Mumbai (Dabbawallahs de Mumbai) conecta uma jovem dona de casa a um estranho no crepúsculo de sua vida. Eles constroem um mundo de fantasia juntos através de anotações na lancheira. Gradualmente, essa fantasia ameaça dominar sua realidade. (e 12 - Estimado 12 Anos)",7.329,2013-09-20,"Drama, Romance",104
Operação Big Hero,"Hiro é um rapaz inteligente que vive em São Fransokyo. Quando o seu irmão mais velho, Tadashi, o leva aos laboratórios do Instituto de Tecnologia, Hiro tem apenas uma ideia em mente: estudar lá. Por isso, concebe um projeto revolucionário que lhe dará um lugar entre os génios. Mas nessa noite deflagra um terrível incêndio e o seu irmão morre nas chamas. Hiro perde toda a motivação, tanto académica como pessoal, até conhecer Baymax, um robô enfermeiro concebido pelo seu irmão. Juntamente com o seu novo amigo e os antigos colegas de Tadashi, Hiro parte em busca da pessoa responsável pela morte do seu irmão.",7.728,2014-10-24,"Aventura, Família, Animação, Ação, Comédia",102
Questão de Tempo,"Ao completar 21 anos, Tim descobre que pode viajar no tempo e mudar o passado. Depois de usar o poder para conseguir uma namorada, ele precisa lidar com consequências inesperadas.",7.915,2013-09-04,"Drama, Romance, Fantasia",123
English Vinglish,"Shashi, é uma mulher que passa por grandes dificuldades na sociedade onde vive, por ser tímida e por não falar inglês. As circunstâncias forçam-na a afirmar sua independência, inscrevendo-se em um curso de inglês e provando ao mundo e a sua família que ela é tão capaz quanto qualquer outra mulher.",7.2,2012-09-21,"Comédia, Drama, Família",134
O Melhor Lance,"No universo da arte, Virgil Oldman é um nome reconhecido e apreciado. Contratado por uma jovem herdeira para leiloar sua coleção de artes, ele se depara com um mistério quando ela se recusa a vê-lo pessoalmente. Conforme tenta desvendá-la, Virgil começa a nutrir sentimentos pela moça.",7.824,2013-01-01,"Drama, Romance, Crime",130
Capitão América 2: O Soldado Invernal,"Após os eventos catastróficos em Nova York com Os Vingadores, Steve Rogers segue tentando se ajustar ao mundo moderno. Porém, quando um colega da agência S.H.I.E.L.D. é atacado, Steve se vê preso em uma rede de intrigas que ameaça colocar o mundo em risco. Em parceria com a Viúva Negra e Falcão, seu novo aliado, o Capitão América tem que enfrentar um misterioso e inesperado inimigo, o Soldado Invernal.",7.654,2014-03-20,"Ação, Aventura, Ficção científica",136
Moonrise Kingdom,"Em 1965, residentes de uma ilha formam uma comunidade aparentemente imune aos males do resto do mundo. Os adolescentes Sam e Suzy se apaixonam e decidem fugir antes da chegada de uma violenta tempestade que ameaça a região.",7.684,2012-05-16,"Comédia, Drama, Romance",94
Como Treinar o seu Dragão 2,"Cinco anos após convencer os habitantes de seu vilarejo que os dragões não devem ser combatidos, Soluço convive com seu dragão Fúria da Noite, e estes animais integraram pacificamente a rotina dos moradores da ilha de Berk. Entre viagens pelos céus e corridas de dragões, Soluço descobre uma caverna secreta, onde centenas de novos dragões vivem. O local é protegido por Valka, mãe de Soluço, que foi afastada do filho quando ele ainda era um bebê. Juntos, eles precisarão proteger o mundo que conhecem do perigoso Drago Bludvist, que deseja controlar todos os dragões existentes.",7.673,2014-06-05,"Fantasia, Ação, Aventura, Animação, Comédia, Família",102
